"DocID","ParentID","DocType","DateModified","FileName","Text_Content"
"00000001","","File","2008-01-22T22:36:57.725+0000","filename00000001","Text content for file filename00000001"
"00000002","00000001","File","2008-01-22T22:36:57.725+0000","filename00000002","Text content for file filename00000002"
"00000003","00000001","File","2008-01-22T22:36:57.725+0000","filename00000003","Text content for file filename00000003"
"00000004","00000001","File","2008-01-22T22:36:57.725+0000","filename00000004","Text content for file filename00000004"
"00000005","00000001","File","2008-01-22T22:36:57.725+0000","filename00000005","Text content for file filename00000005"
"00000006","00000001","File","2008-01-22T22:36:57.725+0000","filename00000006","Text content for file filename00000006"
"00000007","00000001","File","2008-01-22T22:36:57.725+0000","filename00000007","Text content for file filename00000007"
"00000008","00000001","File","2008-01-22T22:36:57.725+0000","filename00000008","Text content for file filename00000008"
"00000009","00000001","File","2008-01-22T22:36:57.725+0000","filename00000009","Text content for file filename00000009"
"00000010","00000001","File","2008-01-22T22:36:57.725+0000","filename00000010","Text content for file filename00000010"
"00000011","00000001","File","2008-01-22T22:36:57.725+0000","filename00000011","Text content for file filename00000011"
"00000012","00000001","File","2008-01-22T22:36:57.725+0000","filename00000012","Text content for file filename00000012"
"00000013","00000001","File","2008-01-22T22:36:57.725+0000","filename00000013","Text content for file filename00000013"
"00000014","00000001","File","2008-01-22T22:36:57.725+0000","filename00000014","Text content for file filename00000014"
"00000015","00000001","File","2008-01-22T22:36:57.725+0000","filename00000015","Text content for file filename00000015"
"00000016","00000001","File","2008-01-22T22:36:57.725+0000","filename00000016","Text content for file filename00000016"
"00000017","00000001","File","2008-01-22T22:36:57.725+0000","filename00000017","Text content for file filename00000017"
"00000018","00000001","File","2008-01-22T22:36:57.725+0000","filename00000018","Text content for file filename00000018"
"00000019","00000001","File","2008-01-22T22:36:57.725+0000","filename00000019","Text content for file filename00000019"
"00000020","00000001","File","2008-01-22T22:36:57.725+0000","filename00000020","Text content for file filename00000020"
"00000021","00000001","File","2008-01-22T22:36:57.725+0000","filename00000021","Text content for file filename00000021"
"00000022","","File","2008-01-22T22:36:57.725+0000","filename00000022","Text content for file filename00000022"
"00000023","00000022","File","2008-01-22T22:36:57.725+0000","filename00000023","Text content for file filename00000023"
"00000024","00000022","File","2008-01-22T22:36:57.725+0000","filename00000024","Text content for file filename00000024"
"00000025","00000022","File","2008-01-22T22:36:57.725+0000","filename00000025","Text content for file filename00000025"
"00000026","00000022","File","2008-01-22T22:36:57.725+0000","filename00000026","Text content for file filename00000026"
"00000027","00000022","File","2008-01-22T22:36:57.725+0000","filename00000027","Text content for file filename00000027"
"00000028","00000022","File","2008-01-22T22:36:57.725+0000","filename00000028","Text content for file filename00000028"
"00000029","00000022","File","2008-01-22T22:36:57.725+0000","filename00000029","Text content for file filename00000029"
"00000030","00000022","File","2008-01-22T22:36:57.725+0000","filename00000030","Text content for file filename00000030"
"00000031","00000022","File","2008-01-22T22:36:57.725+0000","filename00000031","Text content for file filename00000031"
"00000032","00000022","File","2008-01-22T22:36:57.725+0000","filename00000032","Text content for file filename00000032"
"00000033","00000022","File","2008-01-22T22:36:57.725+0000","filename00000033","Text content for file filename00000033"
"00000034","00000022","File","2008-01-22T22:36:57.725+0000","filename00000034","Text content for file filename00000034"
"00000035","00000022","File","2008-01-22T22:36:57.725+0000","filename00000035","Text content for file filename00000035"
"00000036","00000022","File","2008-01-22T22:36:57.725+0000","filename00000036","Text content for file filename00000036"
"00000037","00000022","File","2008-01-22T22:36:57.725+0000","filename00000037","Text content for file filename00000037"
"00000038","00000022","File","2008-01-22T22:36:57.725+0000","filename00000038","Text content for file filename00000038"
"00000039","00000022","File","2008-01-22T22:36:57.725+0000","filename00000039","Text content for file filename00000039"
"00000040","00000022","File","2008-01-22T22:36:57.725+0000","filename00000040","Text content for file filename00000040"
"00000041","00000022","File","2008-01-22T22:36:57.725+0000","filename00000041","Text content for file filename00000041"
"00000042","00000022","File","2008-01-22T22:36:57.725+0000","filename00000042","Text content for file filename00000042"
"00000043","","File","2008-01-22T22:36:57.725+0000","filename00000043","Text content for file filename00000043"
"00000044","00000043","File","2008-01-22T22:36:57.725+0000","filename00000044","Text content for file filename00000044"
"00000045","00000043","File","2008-01-22T22:36:57.725+0000","filename00000045","Text content for file filename00000045"
"00000046","00000043","File","2008-01-22T22:36:57.725+0000","filename00000046","Text content for file filename00000046"
"00000047","00000043","File","2008-01-22T22:36:57.725+0000","filename00000047","Text content for file filename00000047"
"00000048","00000043","File","2008-01-22T22:36:57.725+0000","filename00000048","Text content for file filename00000048"
"00000049","00000043","File","2008-01-22T22:36:57.725+0000","filename00000049","Text content for file filename00000049"
"00000050","00000043","File","2008-01-22T22:36:57.725+0000","filename00000050","Text content for file filename00000050"
"00000051","00000043","File","2008-01-22T22:36:57.725+0000","filename00000051","Text content for file filename00000051"
"00000052","00000043","File","2008-01-22T22:36:57.725+0000","filename00000052","Text content for file filename00000052"
"00000053","00000043","File","2008-01-22T22:36:57.725+0000","filename00000053","Text content for file filename00000053"
"00000054","00000043","File","2008-01-22T22:36:57.725+0000","filename00000054","Text content for file filename00000054"
